'id_car_equipment','id_car_trim','name','year','date_create','date_update','id_car_type'
'222','5676','Travel LE','2015','1463946668','1534978653','1'
'223','5676','Travel','2015','1463946669','1534978658','1'
'224','5676','Style Edition','2015','1463946669','1534978658','1'
'225','5676','Comfort','2015','1463946669','1534978659','1'
'226','5676','Start+Advanced','2015','1463946669','1534978660','1'
'227','5676','Start','2015','1463946669','1534978661','1'
'228','5676','Style Edition','2014','1463946669','1534978662','1'
'229','5676','World Cup Special Edition','2014','1463946669','1534978663','1'
'230','5676','Travel','2014','1463946670','1534978664','1'
'231','5676','Comfort','2014','1463946670','1534978665','1'
'232','5676','Start+Advanced','2014','1463946670','1534978666','1'
'233','5676','Start','2014','1463946670','1534978666','1'
'234','5678','Start','2014','1463946673','1534978676','1'
'235','5678','Start','2013','1463946673','1534978677','1'
'236','5678','Comfort','2013','1463946673','1534978678','1'
'237','5678','Comfort','2015','1463946673','1534978679','1'
'238','5678','Start','2015','1463946673','1534978680','1'
'239','5678','Comfort','2014','1463946673','1534978681','1'
'240','5680','Style Edition','2015','1463946676','1534978633','1'
'241','5680','Travel','2015','1463946676','1534978632','1'
'242','5680','Style Edition','2014','1463946676','1534978634','1'
'243','5680','Travel','2014','1463946676','1534978635','1'
'244','5680','Travel','2013','1463946676','1534978636','1'
'245','5677','Prime+Style','2015','1463946676','1534978638','1'
'246','5677','Prime','2015','1463946677','1534978639','1'
'247','5677','Travel','2015','1463946677','1534978640','1'
'248','5677','Style Edition','2015','1463946677','1534978641','1'
'249','5677','Comfort','2015','1463946677','1534978641','1'
'250','5677','Start','2015','1463946677','1534978637','1'
'251','5677','Travel','2013','1463946677','1534978645','1'
'252','5677','Comfort','2013','1463946677','1534978646','1'
'253','5677','Travel LE','2015','1463946678','1534978642','1'
'254','5677','Style Edition','2014','1463946678','1534978647','1'
'255','5677','Start','2014','1463946678','1534978647','1'
'256','5677','World Cup Special Edition','2014','1463946678','1534978648','1'
'257','5677','Prime+Style','2014','1463946678','1534978649','1'
'258','5677','Prime','2014','1463946678','1534978650','1'
'259','5677','Travel','2014','1463946678','1534978651','1'
'260','5677','Comfort','2014','1463946679','1534978652','1'
'261','5677','Prime+Style','2013','1463946679','1534978643','1'
'262','5677','Prime','2013','1463946679','1534978644','1'
'263','170838','Travel','2015','1463946679','1534978667','1'
'264','170838','Comfort','2015','1463946679','1534978668','1'
'265','170838','Travel','2014','1463946679','1534978670','1'
'266','170838','Comfort','2014','1463946679','1534978671','1'
'267','170838','Travel','2013','1463946679','1534978672','1'
'268','170838','Comfort','2013','1463946680','1534978669','1'
'269','176123','Comfort','2015','1463946680','1534978684','1'
'270','176123','Comfort','2014','1463946680','1534978685','1'
'271','176123','Comfort','2013','1463946680','1534978686','1'
'272','187881','Family','2013','1463946682','1534978688','1'
'273','187881','Luxury+Navi','2013','1463946682','1534978689','1'
'274','187881','Luxury+Navi','2012','1463946682','1534978689','1'
'275','187881','Family','2012','1463946682','1534978690','1'
'276','5687','Family','2011','1463946682','1534978691','1'
'277','5687','Luxury+Navi','2011','1463946682','1534978691','1'
'278','5687','Comfort',NULL,'1463946683','1534978692','1'
'279','187882','Luxury+Navi','2011','1463946683','1534978693','1'
'280','187882','Luxury+Navi','2012','1463946683','1534978693','1'
'281','187882','Luxury+Navi','2013','1463946683','1534978694','1'
'282','187887','Elite','2013','1463946785','1534978718','1'
'283','187887','Hi-Tech','2013','1463946785','1534978719','1'
'284','187887','Hi-Tech','2012','1463946785','1534978719','1'
'285','187887','Elite','2012','1463946786','1534978720','1'
'286','187891','Hi-Tech','2012','1463946786','1534978723','1'
'287','187891','Elite',NULL,'1463946786','1629732313','1'
'288','187891','Hi-Tech','2013','1463946786','1534978724','1'
'289','187895','Elegance','2012','1463946788','1534978728','1'
'290','187895','Premium','2012','1463946788','1534978729','1'
'291','187895','Premium+Roof rail',NULL,'1463946788','1629732334','1'
'292','187895','Elite','2012','1463946788','1534978730','1'
'293','187895','Hi -Tech','2012','1463946788','1534978731','1'
'294','187895','Elite+Roof rail',NULL,'1463946788','1629732335','1'
'295','187895','Elegance','2013','1463946788','1534978732','1'
'296','187895','Premium','2013','1463946788','1534978733','1'
'297','187895','Hi-tech+ Roof rail',NULL,'1463946788','1629732336','1'
'298','187895','Elite','2013','1463946789','1534978734','1'
'299','187895','Hi-tech','2013','1463946789','1534978735','1'
'300','187895','Elegance+Roof rail',NULL,'1463946789','1629732337','1'
'301','5867','Base','2015','1463946792','1534978738','1'
'302','5867','Elegance','2015','1463946792','1534978739','1'
'304','5867','Elegance + NAVI','2015','1463946792','1534978740','1'
'305','5867','Premium','2015','1463946792','1534978740','1'
'306','5867','Business + NAVI','2014','1463946793','1534978737','1'
'307','5867','Premium + NAVI','2015','1463946793','1534978741','1'
'308','5867','Elite','2015','1463946793','1534978742','1'
'309','5867','GT','2015','1463946793','1534978743','1'
'310','5867','Hi-Tech','2015','1463946793','1534978743','1'
'311','5867','Hi-Tech +','2015','1463946793','1534978744','1'
'312','5870','Sport',NULL,'1463946793','1534978751','1'
'313','5870','Sport + NAVI',NULL,'1463946794','1534978753','1'
'314','5870','Hi-Tech',NULL,'1463946794','1534978753','1'
'315','5870','Hi-Tech +',NULL,'1463946794','1534978752','1'
'316','5883','Elegance','2015','1463946795','1534978766','1'
'317','5883','Elegance + NAVI','2015','1463946796','1534978771','1'
'318','5883','Sport','2015','1463946796','1534978772','1'
'319','5883','Sport Black','2015','1463946796','1534978774','1'
'320','5883','Sport Black + NAVI','2015','1463946796','1534978774','1'
'321','5883','Sport + NAVI',NULL,'1463946796','1534978773','1'
'322','5883','Sport Pack',NULL,'1463946796','1629732438','1'
'323','5883','S Design',NULL,'1463946797','1534978767','1'
'324','5884','Premium','2015','1463946797','1534978786','1'
'325','5884','Premium+NAVI','2015','1463946797','1534978785','1'
